Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2, D3, D4, D5, D6, D7, D8",LED_D3.0mm_Clear,8,LED,
J1,PinHeader_1x12_P2.54mm_Horizontal,1,IO Connector Pins,
"R1, R2, R3, R4, R5, R6, R7, R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,8,R,
"TP1, TP10, TP11, TP12, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.5mm,12,TestPoint,
U1,DIP-16_L19.3-W6.4-P2.54-LS7.6-BL,1,D Flip Flop 1,
U2,DIP-16_L19.3-W6.4-P2.54-LS7.6-BL,1,D Flip Flop 2,
"U3, U4",PDIP-14_L19.3-W6.5-P2.54-LS7.6-BL,2,XOR1,
U5,SOP-14_L8.8-W3.9-P1.27-LS6.0-BL,1,AND1,
U6,SOP-14_L8.8-W3.9-P1.27-LS6.0-BL,1,AND2,
